iter	Passed	Remaining
0	52	52419
1	59	29649
2	68	22908
3	72	18040
4	76	15126
5	79	13224
6	83	11847
7	87	10838
8	92	10188
9	96	9506
10	99	8943
11	103	8494
12	106	8106
13	113	7960
14	118	7793
15	122	7514
16	126	7294
17	129	7076
18	133	6894
19	137	6719
20	140	6572
21	144	6429
22	148	6304
23	152	6191
24	155	6079
25	160	6021
26	164	5933
27	168	5849
28	172	5789
29	176	5712
30	180	5642
31	183	5563
32	187	5503
33	191	5444
34	195	5381
35	199	5331
36	204	5329
37	208	5285
38	212	5234
39	217	5214
40	220	5165
41	224	5128
42	228	5084
43	233	5075
44	237	5044
45	241	5013
46	245	4971
47	248	4938
48	253	4919
49	257	4887
50	260	4854
51	264	4816
52	268	4796
53	272	4767
54	275	4738
55	279	4714
56	283	4684
57	288	4685
58	291	4654
59	295	4626
60	298	4601
61	302	4576
62	306	4552
63	309	4531
64	313	4507
65	317	4486
66	320	4465
67	324	4442
68	327	4422
69	332	4412
70	335	4394
71	339	4374
72	343	4358
73	346	4340
74	350	4322
75	354	4307
76	357	4284
77	361	4270
78	364	4252
79	368	4233
80	371	4215
81	374	4197
82	378	4182
83	383	4178
84	386	4161
85	389	4144
86	394	4139
87	397	4122
88	401	4110
89	404	4094
90	410	4104
91	418	4134
92	426	4155
93	435	4201
94	441	4201
95	453	4274
96	458	4268
97	461	4252
98	465	4236
99	470	4236
100	475	4233
101	484	4263
102	489	4265
103	497	4288
104	502	4280
105	507	4279
106	511	4269
107	518	4282
108	523	4281
109	533	4314
110	538	4309
111	541	4294
112	545	4279
113	548	4263
114	553	4257
115	558	4258
116	564	4256
117	567	4244
118	576	4265
119	581	4267
120	591	4294
121	600	4322
122	612	4369
123	621	4392
124	631	4421
125	647	4491
126	651	4478
127	655	4462
128	658	4445
129	662	4433
130	668	4432
131	683	4497
132	692	4511
133	697	4508
134	701	4491
135	704	4478
136	708	4463
137	712	4448
138	716	4441
139	722	4440
140	727	4429
141	730	4416
142	734	4403
143	738	4389
144	742	4376
145	745	4361
146	749	4348
147	753	4335
148	756	4323
149	761	4312
150	764	4301
151	769	4292
152	773	4279
153	776	4266
154	780	4257
155	784	4245
156	788	4234
157	792	4221
158	796	4210
159	799	4198
160	804	4193
161	808	4180
162	811	4168
163	815	4157
164	819	4144
165	822	4134
166	826	4122
167	830	4111
168	833	4099
169	837	4089
170	841	4077
171	844	4067
172	848	4056
173	852	4047
174	856	4037
175	860	4028
176	864	4018
177	867	4006
178	874	4009
179	881	4016
180	891	4035
181	898	4038
182	902	4028
183	906	4018
184	910	4009
185	913	3998
186	917	3988
187	921	3980
188	925	3971
189	929	3961
190	933	3951
191	936	3942
192	940	3932
193	944	3923
194	948	3915
195	952	3906
196	955	3896
197	959	3887
198	964	3883
199	968	3875
200	972	3866
201	977	3861
202	981	3853
203	985	3843
204	988	3834
205	992	3825
206	996	3819
207	1000	3810
208	1004	3803
209	1008	3795
210	1012	3787
211	1017	3780
212	1021	3773
213	1025	3764
214	1028	3755
215	1035	3758
216	1061	3830
217	1069	3837
218	1083	3864
219	1090	3866
220	1098	3873
221	1102	3864
222	1107	3858
223	1111	3849
224	1115	3840
225	1118	3831
226	1122	3821
227	1125	3811
228	1129	3803
229	1133	3793
230	1137	3785
231	1141	3777
232	1145	3770
233	1149	3762
234	1153	3753
235	1156	3744
236	1160	3737
237	1164	3727
238	1167	3717
239	1171	3710
240	1175	3701
241	1178	3691
242	1182	3683
243	1185	3673
244	1190	3669
245	1193	3659
246	1197	3651
247	1200	3641
248	1204	3633
249	1209	3628
250	1213	3620
251	1217	3612
252	1220	3604
253	1224	3596
254	1228	3588
255	1232	3580
256	1235	3572
257	1239	3564
258	1243	3557
259	1247	3549
260	1250	3541
261	1254	3534
262	1258	3527
263	1262	3519
264	1266	3511
265	1269	3502
266	1273	3494
267	1276	3486
268	1280	3479
269	1284	3471
270	1287	3464
271	1291	3456
272	1295	3449
273	1298	3441
274	1302	3434
275	1306	3427
276	1310	3419
277	1313	3411
278	1317	3404
279	1321	3397
280	1324	3389
281	1328	3383
